Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?"
21/12/2018 15:40:38,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Arjuna,"Scathach, Brynhildr, Artoria Pendragon [Lancer]",Ozymandias,"Xuanzang, Leonardo Da Vinci, Merlin",Jack the Ripper,Florence Nightingale,,,No,Between 12 and 15 months,14,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:45:21,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scathach, Artoria Pendragon [Lancer]",,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Illyasviel von Einzbern",Jack the Ripper,"Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,13,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:45:32,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francis Drake,"Tamamo-no-mae, Merlin",Jack the Ripper,Florence Nightingale,,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,6,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:46:01,F2P,,,,,"Tamamo-no-mae, Xuanzang",Jack the Ripper,Florence Nightingale,,,Yes,Between 6 and 12 months,4,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:46:28,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred",Artoria Pendragon [Archer],"Brynhildr, Enkidu",Queen Medb,,Jack the Ripper,"Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,,Yes,More than 15 months,12,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:47:26,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Mordred",Arjuna,,Francis Drake,,Jack the Ripper,,,,Yes,Between 12 and 15 months,6,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:47:48,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Arjuna,,Ozymandias,"Zhuge Liang [El-Melloi II], Leonardo Da Vinci, Merlin",,Minamoto no Raikō,,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,11,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:47:50,F2P,,Gilgamesh,Enkidu,,"Zhuge Liang [El-Melloi II], Merlin",Jack the Ripper,,,,No,Between 1 and 3 months,5,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:48:19,F2P,,,Enkidu,,,,,,,Yes,Between 3 and 6 months,2,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:48:21,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orion,Scathach,Francis Drake,Zhuge Liang [El-Melloi II],Shuten Douji,"Vlad III, Minamoto no Raikō",,Jeanne D'arc [Alter],No,Between 12 and 15 months,8,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
