Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?",,,"4,957016435"
7/08/2018 18:13:55,Paid Gacha Only,,,,,,,,,,,,,,,,Artoria Pendragon,Arjuna,"Scathach, Brynhildr, Artoria Pendragon [Lancer]",Ozymandias,"Xuanzang, Leonardo Da Vinci",Jack the Ripper,Florence Nightingale,,,"Anne/Mary [Archer], Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",Between 6 and 12 months,11,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:17:52,Paid Gacha Only,,,,,,,,,,,,,,,,Mordred,Artoria Pendragon [Archer],"Scathach, Karna","Francis Drake, Queen Medb",Zhuge Liang [El-Melloi II],,,Jeanne D'arc,,"Kiyohime [Lancer], Shishou NP5 [Assassin] aka event done",More than 1 year,9,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:18:18,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Okita Souji,,Karna,Francis Drake,,Jack the Ripper,"Vlad III, Florence Nightingale",Jeanne D'arc,Extra Option: Angra Mainyu,Marie [Caster],More than 1 year,7,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:19:02,Paid Gacha Only,,,,,,,,,,,,,,,,Altera,,Tamamo no Mae [Lancer],Iskandar,"Tamamo-no-mae, Xuanzang",Shuten Douji,"Vlad III, Florence Nightingale",Jeanne D'arc,Extra Option: Angra Mainyu,Shishou NP5 [Assassin] aka event done,More than 1 year,11,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:19:09,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",,"Scathach, Tamamo no Mae [Lancer]",Iskandar,"Zhuge Liang [El-Melloi II], Xuanzang",,"Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],"Kiyohime [Lancer], Mordred [Rider]",More than 1 year,13,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:19:10,Paid Gacha Only,,,,,,,,,,,,,,,,"Okita Souji, Nero Claudius [Bride]",Orion,,Francis Drake,"Zhuge Liang [El-Melloi II], Leonardo Da Vinci",,"Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,,Martha [Ruler],Between 6 and 12 months,12,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:19:27,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,,Francis Drake,Zhuge Liang [El-Melloi II],,Cu Chulainn [Alter],,Extra Option: Angra Mainyu,"Kiyohime [Lancer], Mordred [Rider], Anne/Mary [Archer], Shishou NP5 [Assassin] aka event done",Between 3 and 6 months,5,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:19:42,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Artoria Pendragon [Archer],"Scathach, Artoria Pendragon [Lancer]",Francis Drake,Tamamo-no-mae,"Jack the Ripper, MHX",Vlad III,,,"Martha [Ruler], Shishou NP5 [Assassin] aka event done",Between 6 and 12 months,9,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:19:49,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Gilgamesh,"Scathach, Karna, Artoria Pendragon [Lancer]","Francis Drake, Iskandar, Ozymandias",,,"Vlad III, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes, Extra Option: Angra Mainyu",,More than 1 year,18,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 18:19:55,F2P,,"Orion, Arjuna",,,,,"Sakata Kintoki, Vlad III, Minamoto no Raikō",,Extra Option: Angra Mainyu,Shishou NP5 [Assassin] aka event done,More than 1 year,5,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
